"","band2","band3","band4","NDVI","VCF","class"
"1",0.0354,0.0281,0.2527,0.79985754985755,77,"2"
"2",0.0417,0.0301,0.2816,0.806865575874238,74,"2"
"3",0.0418,0.0282,0.2857,0.820324944249761,72,"2"
"4",0.0397,0.0282,0.2651,0.807705421070576,71,"2"
"5",0.0355,0.0263,0.2237,0.7896,77,"2"
"6",0.0396,0.0281,0.2693,0.81102891728312,75,"2"
"7",0.0375,0.03,0.2817,0.807507218479307,76,"2"
"8",0.0396,0.0263,0.261,0.81691611555865,76,"2"
"9",0.0354,0.0263,0.232,0.796360820751065,76,"2"
"10",0.0333,0.0263,0.2113,0.778619528619529,73,"2"
"11",0.0333,0.0263,0.203,0.770606192760576,75,"2"
"12",0.0355,0.0263,0.2236,0.789515806322529,77,"2"
"13",0.0355,0.0264,0.2484,0.807860262008734,78,"2"
"14",0.0377,0.0302,0.2484,0.783201722900215,78,"2"
"15",0.0398,0.0302,0.2691,0.79819579017708,77,"2"
"16",0.0398,0.0283,0.2897,0.822012578616352,76,"2"
"17",0.0398,0.0302,0.2855,0.808679125752297,76,"2"
"18",0.0377,0.0283,0.265,0.807023525400614,75,"2"
"19",0.0377,0.0264,0.2484,0.807860262008734,77,"2"
"20",0.0377,0.0283,0.2195,0.771589991928975,76,"2"
"21",0.0356,0.0283,0.2153,0.767651888341544,73,"2"
"22",0.0398,0.0264,0.2153,0.781547372776169,73,"2"
"23",0.0417,0.0281,0.2775,0.816099476439791,72,"2"
"24",0.0396,0.03,0.2734,0.8022412656559,76,"2"
"25",0.0354,0.0262,0.2362,0.80030487804878,79,"2"
"26",0.0333,0.0244,0.2154,0.796497080900751,78,"2"
"27",0.0333,0.0301,0.2196,0.758910692831398,71,"2"
"28",0.0355,0.0282,0.2237,0.776101627630012,71,"2"
"29",0.0397,0.0282,0.2567,0.802035802035802,73,"2"
"30",0.0376,0.0283,0.2484,0.795446331767257,76,"2"
"31",0.0355,0.0283,0.2484,0.795446331767257,79,"2"
"32",0.0419,0.0302,0.2732,0.800922874093606,80,"2"
"33",0.044,0.0302,0.2897,0.811190997186621,78,"2"
"34",0.0398,0.0283,0.2732,0.812271973466003,76,"2"
"35",0.0377,0.0302,0.2566,0.789400278940028,73,"2"
"36",0.0356,0.0264,0.2195,0.78527856852379,77,"2"
"37",0.0356,0.0264,0.1905,0.756569847856155,77,"2"
"38",0.0335,0.0227,0.1822,0.77842850170815,75,"2"
"39",0.0356,0.0227,0.1947,0.791168353265869,76,"2"
"40",0.0356,0.0245,0.1947,0.776459854014598,79,"2"
"41",0.0313,0.0227,0.1947,0.791168353265869,80,"2"
"42",0.0356,0.0245,0.1988,0.780564263322884,77,"2"
"43",0.0377,0.0245,0.2278,0.805786761791518,81,"2"
"44",0.0419,0.0302,0.2732,0.800922874093606,71,"2"
"45",0.0505,0.0339,0.302,0.798154212563263,62,"2"
"46",0.044,0.0264,0.2815,0.828515751867489,62,"2"
"47",0.0356,0.0245,0.2484,0.820447050201539,72,"2"
"48",0.0398,0.0245,0.2443,0.817708333333333,81,"2"
"49",0.0335,0.0227,0.2195,0.812551610239472,84,"2"
"50",0.0374,0.0281,0.2735,0.813660477453581,70,"2"
"51",0.0438,0.0281,0.3022,0.829851650015138,70,"2"
"52",0.0375,0.0281,0.2652,0.808387316740539,76,"2"
"53",0.0354,0.0262,0.2071,0.775396485212173,78,"2"
"54",0.0333,0.0244,0.2071,0.789200863930886,77,"2"
"55",0.0418,0.0301,0.2527,0.787128712871287,78,"2"
"56",0.0418,0.0282,0.2856,0.820267686424474,77,"2"
"57",0.0418,0.0301,0.2733,0.801582069874753,76,"2"
"58",0.0376,0.0283,0.2526,0.798504805980776,76,"2"
"59",0.0377,0.0283,0.2484,0.795446331767257,76,"2"
"60",0.044,0.0321,0.2773,0.792501616031028,75,"2"
"61",0.0462,0.0302,0.2897,0.811190997186621,71,"2"
"62",0.0377,0.0283,0.2691,0.809683927370545,68,"2"
"63",0.0377,0.0302,0.2319,0.769553605494086,71,"2"
"64",0.0356,0.0245,0.1905,0.772093023255814,76,"2"
"65",0.0356,0.0245,0.1905,0.772093023255814,79,"2"
"66",0.0335,0.0245,0.1988,0.780564263322884,79,"2"
"67",0.0313,0.0208,0.1905,0.803123521060104,79,"2"
"68",0.0335,0.0189,0.1864,0.815879201169021,81,"2"
"69",0.0377,0.0245,0.2236,0.802498992341798,78,"2"
"70",0.044,0.0283,0.2732,0.812271973466003,74,"2"
"71",0.0462,0.0302,0.2979,0.81590978360256,59,"2"
"72",0.0462,0.0283,0.302,0.828640629730548,63,"2"
"73",0.044,0.0302,0.2979,0.81590978360256,69,"2"
"74",0.0398,0.0264,0.2608,0.816155988857939,78,"2"
"75",0.0356,0.0245,0.2608,0.828250963897652,84,"2"
"76",0.0377,0.0245,0.2484,0.820447050201539,84,"2"
"77",0.0356,0.0264,0.2401,0.80187617260788,79,"2"
"78",0.0438,0.03,0.2569,0.790867898222377,71,"2"
"79",0.0417,0.03,0.2735,0.802306425041186,70,"2"
"80",0.0353,0.0243,0.2237,0.804032258064516,77,"2"
"81",0.0354,0.0243,0.1905,0.773743016759777,78,"2"
"82",0.0354,0.0244,0.232,0.809672386895476,73,"2"
"83",0.0397,0.0263,0.2609,0.816852367688022,73,"2"
"84",0.0418,0.0263,0.2692,0.821996615905245,74,"2"
"85",0.0397,0.0244,0.2651,0.831433506044905,75,"2"
"86",0.0334,0.0302,0.2444,0.780043699927167,76,"2"
"87",0.0398,0.0283,0.2484,0.795446331767257,75,"2"
"88",0.0419,0.0302,0.2815,0.806223933269169,74,"2"
"89",0.0419,0.0302,0.2937,0.813522692188947,72,"2"
"90",0.0377,0.0245,0.2443,0.817708333333333,72,"2"
"91",0.0335,0.0283,0.1947,0.746188340807175,71,"2"
"92",0.0377,0.0227,0.1947,0.791168353265869,77,"2"
"93",0.0356,0.0283,0.2195,0.771589991928975,81,"2"
"94",0.0335,0.0208,0.203,0.814119749776586,81,"2"
"95",0.0335,0.0208,0.1864,0.799227799227799,81,"2"
"96",0.0335,0.0189,0.1947,0.823033707865168,81,"2"
"97",0.0398,0.0264,0.2443,0.804950129294422,77,"2"
"98",0.0484,0.0321,0.302,0.807841963483987,71,"2"
"99",0.0526,0.0339,0.3102,0.802964254577158,59,"2"
"100",0.0462,0.0302,0.3061,0.820398453761522,64,"2"
"101",0.0419,0.0283,0.2897,0.822012578616352,72,"2"
"102",0.0419,0.0302,0.2691,0.79819579017708,78,"2"
"103",0.0398,0.0264,0.2526,0.810752688172043,81,"2"
"104",0.0356,0.0264,0.2526,0.810752688172043,80,"2"
"105",0.0356,0.0245,0.2526,0.823168531216167,79,"2"
"106",0.0374,0.0242,0.2653,0.832815198618307,74,"2"
"107",0.0353,0.0262,0.228,0.793863099921322,73,"2"
"108",0.0311,0.0225,0.2072,0.804092294296909,79,"2"
"109",0.0375,0.0243,0.1989,0.782258064516129,77,"2"
"110",0.0417,0.0337,0.2652,0.774506523921044,69,"2"
"111",0.046,0.0301,0.2857,0.809373020899303,65,"2"
"112",0.0376,0.0282,0.2485,0.796169136248645,69,"2"
"113",0.0418,0.0301,0.2444,0.780692167577413,74,"2"
"114",0.0355,0.0245,0.2196,0.79926259729619,75,"2"
"115",0.0377,0.0302,0.2319,0.769553605494086,74,"2"
"116",0.0398,0.0283,0.265,0.807023525400614,74,"2"
"117",0.0398,0.0283,0.2815,0.817301484828922,76,"2"
"118",0.0377,0.0227,0.1947,0.791168353265869,78,"2"
"119",0.0292,0.0245,0.1697,0.747682801235839,75,"2"
"120",0.0356,0.0245,0.207,0.788336933045356,80,"2"
"121",0.0377,0.0245,0.2195,0.799180327868853,82,"2"
"122",0.0313,0.0227,0.1697,0.764033264033264,80,"2"
"123",0.0335,0.0208,0.1822,0.795073891625616,79,"2"
"124",0.0313,0.0227,0.1988,0.795033860045147,80,"2"
"125",0.0335,0.0245,0.2236,0.802498992341798,76,"2"
"126",0.044,0.0302,0.265,0.795392953929539,71,"2"
"127",0.0484,0.0302,0.2897,0.811190997186621,60,"2"
"128",0.0505,0.0358,0.3348,0.806799784133837,61,"2"
"129",0.044,0.0321,0.2897,0.800497203231821,63,"2"
"130",0.0398,0.0283,0.265,0.807023525400614,66,"2"
"131",0.0377,0.0283,0.2361,0.785930408472012,70,"2"
"132",0.0356,0.0283,0.2566,0.801333801333801,76,"2"
"133",0.0335,0.0227,0.2443,0.829962546816479,82,"2"
"134",0.0373,0.0224,0.2197,0.814952498967369,83,"2"
"135",0.0374,0.0261,0.2404,0.804127579737336,77,"2"
"136",0.0395,0.0262,0.2321,0.797135114208285,76,"2"
"137",0.0332,0.0206,0.2031,0.815824765310684,81,"2"
"138",0.0375,0.0281,0.2279,0.78046875,77,"2"
"139",0.0375,0.03,0.2734,0.8022412656559,68,"2"
"140",0.046,0.032,0.2774,0.793148028442146,70,"2"
"141",0.0354,0.0282,0.2361,0.786606129398411,75,"2"
"142",0.0355,0.0226,0.2154,0.810084033613445,79,"2"
"143",0.0334,0.0264,0.2278,0.792289535798584,77,"2"
"144",0.0377,0.0302,0.2361,0.773188133683815,72,"2"
"145",0.0398,0.0302,0.2526,0.786421499292786,68,"2"
"146",0.0419,0.0264,0.2484,0.807860262008734,69,"2"
"147",0.0377,0.0245,0.203,0.784615384615385,72,"2"
"148",0.0313,0.0283,0.1781,0.72577519379845,78,"2"
"149",0.0377,0.0227,0.2195,0.812551610239472,82,"2"
"150",0.0335,0.0264,0.2112,0.777777777777778,82,"2"
"151",0.0335,0.0208,0.1738,0.78622816032888,78,"2"
"152",0.0335,0.0227,0.1905,0.787054409005629,77,"2"
"153",0.0356,0.0245,0.203,0.784615384615385,78,"2"
"154",0.0356,0.0283,0.2319,0.782475019215988,77,"2"
"155",0.044,0.0283,0.2691,0.809683927370545,72,"2"
"156",0.0526,0.0358,0.3307,0.804638472032742,43,"2"
